iter	Accuracy	Logloss
0	0.7553925798	0.6709883076
1	0.754529767	0.6493252888
2	0.75337935	0.6310963619
3	0.7535231521	0.614554187
4	0.7539545585	0.5992923666
5	0.7579810181	0.5846055626
6	0.7571182053	0.5717814555
7	0.7763876905	0.5607834841
8	0.7782571182	0.5491616845
9	0.7801265459	0.5408214095
10	0.7798389416	0.534312108
11	0.7776819097	0.5269679476
12	0.7807017544	0.5202677993
13	0.7795513374	0.5132378652
14	0.7841530055	0.507357775
15	0.7845844118	0.5024909142
16	0.7857348289	0.4979829046
17	0.7860224331	0.4931338272
18	0.7840092033	0.4915672837
19	0.7871728502	0.4868743488
20	0.78918608	0.4830722576
21	0.7877480587	0.4808162743
22	0.7888984757	0.4771057513
23	0.78918608	0.4750709336
24	0.7884670693	0.4714747375
25	0.7896174863	0.4685026466
26	0.7906241012	0.4663232052
27	0.7896174863	0.4641029794
28	0.7901926949	0.4624847443
29	0.7920621225	0.4598926512
30	0.7916307161	0.4581807412
31	0.7927811332	0.4562863092
32	0.7935001438	0.4546866145
33	0.7930687374	0.4532349511
34	0.7946505608	0.451791376
35	0.7943629566	0.4503189786
36	0.7946505608	0.4493445835
37	0.794794363	0.4471678241
38	0.7956571757	0.4461452414
39	0.7966637906	0.445197682
40	0.7975266034	0.4439611736
41	0.7962323842	0.4427920963
42	0.7969513949	0.4416465552
43	0.7975266034	0.4400928892
44	0.7976704055	0.4392692586
45	0.7976704055	0.4388377409
46	0.7972389991	0.4379694264
47	0.7972389991	0.4369892551
48	0.7981018119	0.4359231975
49	0.7981018119	0.4347595256
50	0.798245614	0.4336845104
51	0.7983894162	0.4327790257
52	0.7983894162	0.4317275222
53	0.7996836353	0.4307411888
54	0.8006902502	0.4299410958
55	0.800402646	0.4291842221
56	0.7998274374	0.4285879876
57	0.7998274374	0.4278685042
58	0.7998274374	0.4272599732
59	0.7999712396	0.4268964085
60	0.7999712396	0.4262941253
61	0.800402646	0.4258027369
62	0.8006902502	0.4248986371
63	0.8006902502	0.4236496199
64	0.8006902502	0.4230165764
65	0.8009778545	0.422572807
66	0.801553063	0.4219368389
67	0.8012654587	0.4211692173
68	0.8021282715	0.4208635558
69	0.8019844694	0.4204251308
70	0.8021282715	0.4200047256
71	0.8021282715	0.419454589
72	0.8022720736	0.4189017105
73	0.8018406672	0.4185351603
74	0.8019844694	0.4182526252
75	0.8018406672	0.4179466475
76	0.801553063	0.4176847487
77	0.8016968651	0.4173986148
78	0.8022720736	0.4169777832
79	0.8022720736	0.4165009458
80	0.8022720736	0.4163774302
81	0.8032786885	0.4159296997
82	0.8035662928	0.4154148683
83	0.8037100949	0.4151526344
84	0.8029910843	0.4147978822
85	0.803853897	0.4144422497
86	0.803853897	0.4139396302
87	0.8039976992	0.4136890898
88	0.8041415013	0.4132128574
89	0.8034224907	0.412727745
90	0.8045729077	0.412242905
91	0.8061547311	0.4117800857
92	0.8064423353	0.4113450046
93	0.8064423353	0.4109006768
94	0.8064423353	0.4103348812
95	0.8064423353	0.4099536407
96	0.8068737417	0.4094781592
97	0.8067299396	0.4092918935
98	0.8064423353	0.4091050216
99	0.8068737417	0.408764561
100	0.8065861375	0.4084383991
101	0.8074489502	0.4080751721
102	0.8073051481	0.4078021379
103	0.8075927524	0.4075145916
104	0.8074489502	0.407293289
105	0.8081679609	0.4069077926
106	0.808311763	0.4066000269
107	0.8085993673	0.4064455934
108	0.8088869715	0.4062121388
109	0.8084555651	0.4056931294
110	0.8088869715	0.4054841381
111	0.8091745758	0.4053086973
112	0.8093183779	0.4049997014
113	0.8100373886	0.404763333
114	0.8103249928	0.4046279294
115	0.8101811907	0.4045379468
116	0.8104687949	0.4043595234
117	0.8100373886	0.4041554698
118	0.8100373886	0.4041156614
119	0.8104687949	0.4038502463
120	0.8106125971	0.4035617209
121	0.8107563992	0.4032677343
122	0.8114754098	0.4029974996
123	0.8110440035	0.4026664163
124	0.8113316077	0.4022901639
125	0.8114754098	0.402071359
126	0.811619212	0.4016876163
127	0.8119068162	0.4015049583
128	0.8119068162	0.4011694392
129	0.8121944205	0.4006359551
130	0.8124820247	0.4003860615
131	0.8121944205	0.4001380807
132	0.8123382226	0.400014891
133	0.8120506183	0.399888798
134	0.8123382226	0.3996710282
135	0.8121944205	0.3992668534
136	0.8126258269	0.398919842
137	0.8123382226	0.3987024193
138	0.8124820247	0.3985312954
139	0.8126258269	0.398290023
140	0.8134886396	0.3979394156
141	0.8134886396	0.3976903526
142	0.8136324418	0.397562655
143	0.813920046	0.397339446
144	0.8136324418	0.3971023877
145	0.8132010354	0.3967587065
146	0.8136324418	0.3965710352
147	0.8136324418	0.3962253642
148	0.8136324418	0.3960371823
149	0.8134886396	0.3958301677
150	0.8136324418	0.3957853503
151	0.8136324418	0.3956987435
152	0.8134886396	0.3955537272
153	0.8137762439	0.3953419727
154	0.8134886396	0.3953197485
155	0.8137762439	0.3948473728
156	0.8137762439	0.3944675938
157	0.8137762439	0.3944254356
158	0.8134886396	0.3942630929
159	0.8134886396	0.3939053553
160	0.813920046	0.3935377978
161	0.8144952545	0.3932902647
162	0.8143514524	0.3930080586
163	0.8144952545	0.3927813831
164	0.8146390567	0.3924502337
165	0.8147828588	0.392047055
166	0.815070463	0.3917259546
167	0.8152142652	0.3914488355
168	0.8152142652	0.3912974893
169	0.8162208801	0.3906264193
170	0.8159332758	0.390209807
171	0.8166522865	0.390065435
172	0.8170836928	0.3900144074
173	0.8169398907	0.3898589724
174	0.8182341099	0.3890296448
175	0.8186655162	0.3887730162
176	0.8188093184	0.3885638739
177	0.8186655162	0.3882833059
178	0.8189531205	0.3881293741
179	0.8188093184	0.3880822869
180	0.8198159333	0.3875248186
181	0.8199597354	0.3872501525
182	0.8199597354	0.386921107
183	0.8208225482	0.3864849477
184	0.8211101524	0.3862347009
185	0.8211101524	0.3860512634
186	0.8211101524	0.385946078
187	0.8213977567	0.385658725
188	0.8215415588	0.3854809348
189	0.8213977567	0.3852645681
190	0.8212539546	0.3851275833
191	0.8215415588	0.3849805246
192	0.8219729652	0.3844860053
193	0.8216853609	0.3842128758
194	0.8219729652	0.3840279768
195	0.8221167673	0.383751852
196	0.8216853609	0.3835672076
197	0.8215415588	0.3834807995
198	0.822835778	0.3831203378
199	0.822835778	0.3829568815
200	0.823986195	0.3824234142
201	0.8244176014	0.381628442
202	0.823986195	0.3813631565
203	0.8241299971	0.3809338726
204	0.8244176014	0.380589823
205	0.8247052056	0.3803777421
206	0.8244176014	0.3801632966
207	0.8247052056	0.3798126295
208	0.8249928099	0.3795554186
209	0.8252804142	0.379354489
210	0.825136612	0.3792045348
211	0.825136612	0.3791528777
212	0.8254242163	0.3788509099
213	0.8257118205	0.3783392844
214	0.8252804142	0.3778193819
215	0.8261432269	0.3776570861
216	0.8259994248	0.3775338474
217	0.8265746333	0.3773088932
218	0.8268622376	0.3770024912
219	0.8274374461	0.3767731232
220	0.8280126546	0.3765813581
221	0.8280126546	0.3763179118
222	0.8278688525	0.3759529366
223	0.8278688525	0.3759522302
224	0.8280126546	0.3756540866
225	0.8281564567	0.3755079091
226	0.8281564567	0.3752553527
227	0.8287316652	0.3748243637
228	0.8288754674	0.3745810866
229	0.8294506759	0.3742805364
230	0.8297382801	0.3740354659
231	0.8290192695	0.3736535596
232	0.8291630716	0.3733890411
233	0.829594478	0.3728798083
234	0.8297382801	0.3726608489
235	0.829594478	0.3724848886
236	0.8291630716	0.3721897313
237	0.8290192695	0.3717029406
238	0.8301696865	0.3712911912
239	0.8310324993	0.3709754232
240	0.8310324993	0.3709287675
241	0.8310324993	0.3707105368
242	0.8314639057	0.3703732521
243	0.8313201035	0.3699295689
244	0.8310324993	0.3696204364
245	0.8308886972	0.3693444023
246	0.8310324993	0.3692252533
247	0.8313201035	0.3691025742
248	0.8318953121	0.368900359
249	0.8317515099	0.3687099796
250	0.8317515099	0.3684596895
251	0.8316077078	0.3682206187
252	0.8313201035	0.3677741443
253	0.8318953121	0.3676288042
254	0.8318953121	0.3675342994
255	0.8321829163	0.3674276665
256	0.8323267184	0.3673362742
257	0.8324705206	0.3670256272
258	0.8329019269	0.3669181217
259	0.8331895312	0.3665583412
260	0.8327581248	0.3662844455
261	0.8326143227	0.3661021684
262	0.8327581248	0.3660356218
263	0.8323267184	0.3658050489
264	0.8317515099	0.3654111886
265	0.8318953121	0.3653267696
266	0.8316077078	0.3652445047
267	0.8318953121	0.365061306
268	0.8320391142	0.3649499295
269	0.8317515099	0.3647034527
270	0.8320391142	0.3645093282
271	0.8324705206	0.3643084759
272	0.8321829163	0.3636461725
273	0.8326143227	0.3634952447
274	0.8323267184	0.3632631196
275	0.8326143227	0.3631546647
276	0.8334771355	0.3628916337
277	0.8334771355	0.3627449603
278	0.8341961461	0.3623770185
279	0.8343399482	0.3621426763
280	0.8346275525	0.3619402286
281	0.8347713546	0.361642942
282	0.8350589589	0.3613498527
283	0.8359217716	0.360971554
284	0.8359217716	0.3607359076
285	0.8359217716	0.3606432464
286	0.8359217716	0.3603914032
287	0.8357779695	0.3602639218
288	0.8360655738	0.3601325205
289	0.836353178	0.3598362649
290	0.8362093759	0.3595577881
291	0.8362093759	0.359463416
292	0.8360655738	0.3593869466
293	0.8362093759	0.3592567666
294	0.8364969802	0.3588141135
295	0.8370721887	0.3587261594
296	0.8372159908	0.3586793793
297	0.8370721887	0.3585898436
298	0.8367845844	0.3583098658
299	0.8370721887	0.3580431318
300	0.8370721887	0.357905146
301	0.8370721887	0.3578290004
302	0.8370721887	0.3577112382
303	0.8366407823	0.3575759787
304	0.8372159908	0.3571967995
305	0.8375035951	0.3568347791
306	0.8375035951	0.3567162828
307	0.8377911993	0.3566283271
308	0.8382226057	0.3562556676
309	0.83851021	0.3557889956
310	0.8386540121	0.3556966321
311	0.8379350014	0.3554128755
312	0.8377911993	0.3552536235
313	0.83851021	0.354917901
314	0.8383664078	0.3546775973
315	0.8379350014	0.3546189937
316	0.8380788036	0.3545574914
317	0.8379350014	0.3542358132
318	0.8377911993	0.3541492508
319	0.8379350014	0.354049209
320	0.8379350014	0.3538536751
321	0.8390854185	0.3535036915
322	0.8395168248	0.3533567289
323	0.8395168248	0.3531300215
324	0.839660627	0.3529816714
325	0.8392292206	0.3528553919
326	0.8392292206	0.3525873542
327	0.8393730227	0.3524310903
328	0.8399482312	0.3522313162
329	0.8395168248	0.3520681533
330	0.8393730227	0.351946566
331	0.8398044291	0.3515170571
332	0.8398044291	0.3512450224
333	0.839660627	0.3510796479
334	0.8398044291	0.3508315823
335	0.8398044291	0.3506514299
336	0.8399482312	0.3502679938
337	0.8403796376	0.350114405
338	0.8406672419	0.3498520856
339	0.8410986483	0.3496309862
340	0.8412424504	0.3495499701
