iter	Passed	Remaining
0	69	69026
1	81	40702
2	91	30449
3	101	25324
4	113	22659
5	123	20485
6	132	18751
7	142	17633
8	153	16926
9	162	16136
10	172	15529
11	183	15117
12	193	14712
13	208	14650
14	218	14374
15	228	14044
16	241	13990
17	253	13804
18	262	13547
19	281	13769
20	293	13660
21	302	13465
22	310	13183
23	321	13072
24	331	12929
25	346	12962
26	358	12914
27	372	12932
28	386	12927
29	395	12799
30	405	12677
31	414	12551
32	425	12481
33	429	12209
34	439	12108
35	448	12018
36	459	11949
37	470	11900
38	480	11837
39	490	11767
40	501	11741
41	511	11672
42	521	11596
43	532	11567
44	542	11514
45	551	11440
46	561	11393
47	571	11337
48	581	11282
49	590	11225
50	601	11198
51	611	11153
52	620	11089
53	631	11059
54	641	11017
55	644	10860
56	652	10796
57	662	10762
58	671	10712
59	680	10661
60	690	10624
61	699	10578
62	708	10542
63	716	10485
64	727	10463
65	737	10429
66	747	10402
67	752	10312
68	761	10277
69	770	10239
70	781	10222
71	793	10225
72	802	10187
73	812	10163
74	823	10153
75	834	10149
76	844	10122
77	854	10102
78	858	10004
79	866	9965
80	875	9930
81	884	9900
82	887	9806
83	904	9868
84	930	10016
85	946	10057
86	956	10033
87	989	10255
88	1013	10376
89	1025	10365
90	1038	10370
91	1048	10352
92	1059	10330
93	1082	10431
94	1091	10394
95	1095	10312
96	1105	10287
97	1114	10255
98	1124	10238
99	1134	10206
100	1143	10180
101	1154	10165
102	1163	10133
103	1180	10166
104	1190	10149
105	1203	10147
106	1234	10298
107	1294	10693
108	1327	10851
109	1355	10965
110	1378	11044
111	1393	11047
112	1408	11057
113	1418	11026
114	1428	10993
115	1437	10955
116	1445	10910
117	1449	10831
118	1459	10801
119	1463	10729
120	1472	10696
121	1482	10668
122	1487	10603
123	1496	10572
124	1505	10535
125	1515	10511
126	1529	10515
127	1540	10494
128	1559	10529
129	1586	10619
130	1595	10582
131	1619	10650
132	1664	10849
133	1685	10893
134	1705	10928
135	1716	10902
136	1727	10880
137	1735	10842
138	1747	10822
139	1757	10793
140	1766	10763
141	1776	10732
142	1786	10709
143	1796	10681
144	1805	10647
145	1815	10616
146	1825	10591
147	1833	10553
148	1842	10521
149	1851	10489
150	1859	10457
151	1869	10428
152	1879	10402
153	1900	10441
154	1912	10425
155	1916	10368
156	1939	10415
157	1943	10356
158	1952	10327
159	1959	10289
160	1969	10261
161	1976	10225
162	1986	10199
163	1995	10174
164	2005	10150
165	2016	10131
166	2023	10095
167	2035	10079
168	2045	10059
169	2054	10028
170	2064	10007
171	2074	9984
172	2083	9958
173	2093	9939
174	2102	9913
175	2113	9896
176	2124	9876
177	2134	9856
178	2143	9833
179	2160	9840
180	2169	9816
181	2177	9787
182	2200	9824
183	2211	9805
184	2221	9785
185	2231	9764
186	2240	9740
187	2249	9716
188	2259	9694
189	2268	9668
190	2280	9659
191	2289	9636
192	2300	9617
193	2310	9597
194	2319	9573
195	2328	9550
196	2338	9531
